,Ti,Ni,Cu,Fe,Pd,Co,Mn,Cr,Nb,Zr,Hf,hp
276,39.0,44.0,5,0,0,0,0,0,0,1,11,158.5858851474768
277,38.0,44.0,5,0,0,0,0,0,0,2,11,174.48099649914366
278,37.0,44.0,5,0,0,0,0,0,0,3,11,190.5199794389482
279,36.0,44.0,5,0,0,0,0,0,0,4,11,206.70283396710875
280,35.0,44.0,5,0,0,0,0,0,0,5,11,223.02956008387264
281,34.0,44.0,5,0,0,0,0,0,0,6,11,239.50015778903617
282,33.0,44.0,5,0,0,0,0,0,0,7,11,256.11462708291947
283,32.0,44.0,5,0,0,0,0,0,0,8,11,272.8729679643293
284,31.0,44.0,5,0,0,0,0,0,0,9,11,289.77518043492455
285,39.0,44.0,5,0,0,0,0,0,0,0,12,155.96598567499314
286,38.0,44.0,5,0,0,0,0,0,0,1,12,172.34981432490167
287,37.0,44.0,5,0,0,0,0,0,0,2,12,188.87751456312253
288,36.0,44.0,5,0,0,0,0,0,0,3,12,205.54908638968482
289,35.0,44.0,5,0,0,0,0,0,0,4,12,222.36452980473405
290,34.0,44.0,5,0,0,0,0,0,0,5,12,239.32384480835753
291,33.0,44.0,5,0,0,0,0,0,0,6,12,256.42703140032245
292,32.0,44.0,5,0,0,0,0,0,0,7,12,273.67408958025044
293,31.0,44.0,5,0,0,0,0,0,0,8,12,291.0650193495676
294,38.0,44.0,5,0,0,0,0,0,0,0,13,170.09023568038538
295,37.0,44.0,5,0,0,0,0,0,0,1,13,187.10665321697888
296,36.0,44.0,5,0,0,0,0,0,0,2,13,204.26694234189927
297,35.0,44.0,5,0,0,0,0,0,0,3,13,221.57110305537935
298,34.0,44.0,5,0,0,0,0,0,0,4,13,239.01913535734639
299,33.0,44.0,5,0,0,0,0,0,0,5,13,256.61103924765484
300,32.0,44.0,5,0,0,0,0,0,0,6,13,274.3468147261301
301,31.0,44.0,5,0,0,0,0,0,0,7,13,292.2264617938199
302,37.0,44.0,5,0,0,0,0,0,0,0,14,185.2073954006628
303,36.0,44.0,5,0,0,0,0,0,0,1,14,202.85640182405768
304,35.0,44.0,5,0,0,0,0,0,0,2,14,220.64927983601228
305,34.0,44.0,5,0,0,0,0,0,0,3,14,238.58602943620645
306,33.0,44.0,5,0,0,0,0,0,0,4,14,256.66665062503307
307,32.0,44.0,5,0,0,0,0,0,0,5,14,274.8911434019392
308,31.0,44.0,5,0,0,0,0,0,0,6,14,293.25950776811806
309,36.0,44.0,5,0,0,0,0,0,0,0,15,201.31746483611641
310,35.0,44.0,5,0,0,0,0,0,0,1,15,219.59906014610897
311,34.0,44.0,5,0,0,0,0,0,0,2,15,238.02452704496682
312,33.0,44.0,5,0,0,0,0,0,0,3,15,256.59386553190416
313,32.0,44.0,5,0,0,0,0,0,0,4,15,275.3070756076777
314,31.0,44.0,5,0,0,0,0,0,0,5,15,294.1641572714434
315,35.0,44.0,5,0,0,0,0,0,0,0,16,218.42044398613507
316,34.0,44.0,5,0,0,0,0,0,0,1,16,237.33462818307453
317,33.0,44.0,5,0,0,0,0,0,0,2,16,256.3926839689666
318,32.0,44.0,5,0,0,0,0,0,0,3,16,275.59461134212324
319,31.0,44.0,5,0,0,0,0,0,0,4,16,294.9404103050183
320,34.0,44.0,5,0,0,0,0,0,0,0,17,236.51633285149
321,33.0,44.0,5,0,0,0,0,0,0,1,17,256.06310593523085
322,32.0,44.0,5,0,0,0,0,0,0,2,17,275.7537506072549
323,31.0,44.0,5,0,0,0,0,0,0,3,17,295.58826686785324
324,33.0,44.0,5,0,0,0,0,0,0,0,18,255.60513143180287
325,32.0,44.0,5,0,0,0,0,0,0,1,18,275.7844934021705
326,31.0,44.0,5,0,0,0,0,0,0,2,18,296.10772696102504
327,32.0,44.0,5,0,0,0,0,0,0,0,19,275.6868397266371
328,31.0,44.0,5,0,0,0,0,0,0,1,19,296.49879058398074
329,31.0,44.0,5,0,0,0,0,0,0,0,20,296.7614577365166
330,39.9,44.1,5,0,0,0,0,0,0,11,0,163.08272760506952
331,38.9,44.1,5,0,0,0,0,0,0,12,0,173.01678961675498
332,37.9,44.1,5,0,0,0,0,0,0,13,0,183.09472321666544
333,36.9,44.1,5,0,0,0,0,0,0,14,0,193.31652840509196
334,35.9,44.1,5,0,0,0,0,0,0,15,0,203.6822051819472
335,34.9,44.1,5,0,0,0,0,0,0,16,0,214.19175354688196
336,33.9,44.1,5,0,0,0,0,0,0,17,0,224.84517350012902
337,32.9,44.1,5,0,0,0,0,0,0,18,0,235.64246504253242
338,31.9,44.1,5,0,0,0,0,0,0,19,0,246.58362817269517
339,30.9,44.1,5,0,0,0,0,0,0,20,0,257.6686628914904
340,39.9,44.1,5,0,0,0,0,0,0,10,1,161.4579153546656
341,38.9,44.1,5,0,0,0,0,0,0,11,1,171.88069466419984
342,37.9,44.1,5,0,0,0,0,0,0,12,1,182.447345562774
343,36.9,44.1,5,0,0,0,0,0,0,13,1,193.15786804939853
344,35.9,44.1,5,0,0,0,0,0,0,14,1,204.01226212459733
345,34.9,44.1,5,0,0,0,0,0,0,15,1,215.01052778816666
346,33.9,44.1,5,0,0,0,0,0,0,16,1,226.15266504016472
347,32.9,44.1,5,0,0,0,0,0,0,17,1,237.43867388064973
348,31.9,44.1,5,0,0,0,0,0,0,18,1,248.86855430871947
349,30.9,44.1,5,0,0,0,0,0,0,19,1,260.4423063262366
350,39.9,44.1,5,0,0,0,0,0,0,9,2,159.70470663366723
351,38.9,44.1,5,0,0,0,0,0,0,10,2,170.61620324183605
352,37.9,44.1,5,0,0,0,0,0,0,11,2,181.67157143860823
353,36.9,44.1,5,0,0,0,0,0,0,12,2,192.8708112235472
354,35.9,44.1,5,0,0,0,0,0,0,13,2,204.21392259708955
355,34.9,44.1,5,0,0,0,0,0,0,14,2,215.70090555923525
356,33.9,44.1,5,0,0,0,0,0,0,15,2,227.33176010922762
357,32.9,44.1,5,0,0,0,0,0,0,16,2,239.1064862482017
358,31.9,44.1,5,0,0,0,0,0,0,17,2,251.0250839755754
359,30.9,44.1,5,0,0,0,0,0,0,18,2,263.08755329070846
360,39.9,44.1,5,0,0,0,0,0,0,8,3,157.82310144255462
361,38.9,44.1,5,0,0,0,0,0,0,9,3,169.22331534911063
362,37.9,44.1,5,0,0,0,0,0,0,10,3,180.76740084416815
363,36.9,44.1,5,0,0,0,0,0,0,11,3,192.45535792782903
364,35.9,44.1,5,0,0,0,0,0,0,12,3,204.2871865995403
365,34.9,44.1,5,0,0,0,0,0,0,13,3,216.2628868596512
366,33.9,44.1,5,0,0,0,0,0,0,14,3,228.38245870830724
367,32.9,44.1,5,0,0,0,0,0,0,15,3,240.64590214571217
368,31.9,44.1,5,0,0,0,0,0,0,16,3,253.0532171713421
369,30.9,44.1,5,0,0,0,0,0,0,17,3,265.6044037852553
370,39.9,44.1,5,0,0,0,0,0,0,7,4,155.81309978124045
371,38.9,44.1,5,0,0,0,0,0,0,8,4,167.70203098609636
372,37.9,44.1,5,0,0,0,0,0,0,9,4,179.73483377954108
373,36.9,44.1,5,0,0,0,0,0,0,10,4,191.9115081615164
374,35.9,44.1,5,0,0,0,0,0,0,11,4,204.23205413189135
375,34.9,44.1,5,0,0,0,0,0,0,12,4,216.6964716904913
376,33.9,44.1,5,0,0,0,0,0,0,13,4,229.30476083757821
377,32.9,44.1,5,0,0,0,0,0,0,14,4,242.05692157312296
378,31.9,44.1,5,0,0,0,0,0,0,15,4,254.9529538967181
379,30.9,44.1,5,0,0,0,0,0,0,16,4,267.99285780941136
